Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/19/2026 22:11:02,00:00:00.0650233,00:00:44.6206115,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 22:11:56,00:00:00.0612759,00:00:43.2898381,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 22:12:48,00:00:00.0580498,00:00:42.7183545,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 22:13:39,00:00:00.0613510,00:00:45.6621902,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 22:14:32,00:00:00.0615149,00:00:45.4082450,16384,[LB01|SLM01|BBT01|PSC01],False,
04/19/2026 22:15:26,00:00:00.0611777,00:00:42.7793365,16384,[SLM01|PSC01|BBT01|LB01],False,
04/19/2026 22:16:18,00:00:00.0619464,00:00:42.1853335,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 22:17:09,00:00:00.0587315,00:00:44.5356865,16384,[PSC01|LB01|SLM01|BBT01],False,
04/19/2026 22:18:00,00:00:00.0614387,00:00:44.1853211,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 22:18:53,00:00:00.0611983,00:00:43.6104455,16384,[LB01|BBT01|PSC01|SLM01],False,
04/19/2026 22:19:46,00:00:00.0598208,00:00:44.5608646,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 22:20:37,00:00:00.0611568,00:00:45.4544126,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 22:21:31,00:00:00.0589597,00:00:43.3965000,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 22:22:23,00:00:00.0747110,00:00:42.5438453,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 22:23:15,00:00:00.1658347,00:00:43.9188981,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 22:24:06,00:00:00.0614029,00:00:44.9651844,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 22:25:00,00:00:00.0635117,00:00:43.5943215,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 22:25:52,00:00:00.0641670,00:00:42.8238007,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 22:26:44,00:00:00.0597956,00:00:43.5966098,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 22:27:36,00:00:00.0642842,00:00:41.4603166,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 22:28:26,00:00:00.0606772,00:00:44.3839621,16384,[PSC01|LB01|SLM01|BBT01],False,
04/19/2026 22:29:17,00:00:00.0606092,00:00:43.9554559,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 22:30:10,00:00:00.0603667,00:00:42.1275555,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 22:31:01,00:00:00.0600409,00:00:44.7959077,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 22:31:53,00:00:00.0600531,00:00:48.3306480,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 22:32:48,00:00:00.0607391,00:00:45.3943181,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 22:33:42,00:00:00.0613390,00:00:43.1906358,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 22:34:34,00:00:00.0606894,00:00:46.3764475,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 22:35:27,00:00:00.0607034,00:00:45.6144470,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 22:36:19,00:00:00.0600298,00:00:45.1055879,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 22:37:13,00:00:00.0600406,00:00:43.5339521,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 22:38:06,00:00:00.0620141,00:00:42.6827147,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 22:38:58,00:00:00.0638861,00:00:45.6337256,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 22:39:50,00:00:00.0598780,00:00:46.2824623,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 22:40:46,00:00:00.0594712,00:00:42.9047767,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 22:41:38,00:00:00.0619580,00:00:43.6023088,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 22:42:30,00:00:00.0609548,00:00:45.6258879,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 22:43:22,00:00:00.0636190,00:00:45.4472362,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 22:44:16,00:00:00.0588847,00:00:41.1231330,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 22:45:06,00:00:00.0687187,00:00:44.3588068,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 22:45:57,00:00:00.0603132,00:00:43.9567094,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 22:46:50,00:00:00.0646524,00:00:42.9028347,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 22:47:42,00:00:00.0616637,00:00:43.3997635,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 22:48:34,00:00:00.0703097,00:00:45.4299826,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 22:49:27,00:00:00.0629009,00:00:45.0279041,16384,[SLM01|PSC01|BBT01|LB01],False,
04/19/2026 22:50:21,00:00:00.0616694,00:00:42.5434621,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 22:51:12,00:00:00.0607940,00:00:42.7209100,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 22:52:04,00:00:00.0633149,00:00:45.4523599,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 22:52:57,00:00:00.0679577,00:00:44.9774849,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 22:53:51,00:00:00.0592689,00:00:43.0150225,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 22:54:43,00:00:00.0613801,00:00:43.8699685,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 22:55:36,00:00:00.0661377,00:00:43.7121521,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 22:56:28,00:00:00.0607167,00:00:44.4397639,16384,[PSC01|LB01|SLM01|BBT01],False,
04/19/2026 22:57:19,00:00:00.0636791,00:00:45.6709857,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 22:58:14,00:00:00.0618147,00:00:43.0610234,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 22:59:06,00:00:00.0604738,00:00:43.9224976,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 22:59:58,00:00:00.0620721,00:00:45.0425187,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 23:00:50,00:00:00.0621546,00:00:44.9627807,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 23:01:44,00:00:00.0627582,00:00:42.0728620,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 23:02:35,00:00:00.2356732,00:00:44.7551125,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 23:03:26,00:00:00.0622124,00:00:45.6568288,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 23:04:19,00:00:00.0595217,00:00:44.5832563,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 23:05:13,00:00:00.0613105,00:00:42.6485449,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 23:06:05,00:00:00.0712317,00:00:45.2274598,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 23:06:57,00:00:00.0605474,00:00:44.2616828,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 23:07:50,00:00:00.0576298,00:00:42.5108514,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 23:08:42,00:00:00.0591673,00:00:42.2855724,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 23:09:33,00:00:00.0611912,00:00:45.8780925,16384,[LB01|BBT01|PSC01|SLM01],False,
04/19/2026 23:10:26,00:00:00.0637030,00:00:45.9895251,16384,[LB01|SLM01|BBT01|PSC01],False,
04/19/2026 23:11:18,00:00:00.0586144,00:00:44.7796537,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 23:12:12,00:00:00.0622340,00:00:42.8506597,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 23:13:03,00:00:00.0654599,00:00:45.3512098,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 23:13:56,00:00:00.0599740,00:00:46.2857692,16384,[LB01|SLM01|BBT01|PSC01],False,
04/19/2026 23:14:51,00:00:00.0601054,00:00:43.1560278,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 23:15:44,00:00:00.0589004,00:00:45.2094688,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 23:16:38,00:00:00.0584683,00:00:42.9460354,16384,[LB01|BBT01|PSC01|SLM01],False,
04/19/2026 23:17:30,00:00:00.0586984,00:00:44.8708897,16384,[LB01|PSC01|SLM01|BBT01],False,
04/19/2026 23:18:22,00:00:00.0598593,00:00:45.7468821,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 23:19:17,00:00:00.0599583,00:00:43.2277547,16384,[LB01|SLM01|BBT01|PSC01],False,
04/19/2026 23:20:09,00:00:00.0624518,00:00:42.7023936,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 23:21:01,00:00:00.0608440,00:00:47.2199478,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 23:21:55,00:00:00.0598880,00:00:45.5812374,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 23:22:50,00:00:00.0590504,00:00:43.0370352,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 23:23:42,00:00:00.0638886,00:00:42.8890560,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 23:24:34,00:00:00.0641365,00:00:44.7717031,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 23:25:25,00:00:00.0588974,00:00:45.6131257,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 23:26:17,00:00:00.0619995,00:00:45.7332054,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 23:27:12,00:00:00.0607779,00:00:43.4043039,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 23:28:04,00:00:00.0619689,00:00:42.8714969,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 23:28:56,00:00:00.0625655,00:00:44.6301450,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 23:29:47,00:00:00.0579789,00:00:44.6074212,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 23:30:41,00:00:00.0612067,00:00:42.6245274,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 23:31:32,00:00:00.0657199,00:00:45.8621738,16384,[LB01|BBT01|PSC01|SLM01],False,
04/19/2026 23:32:25,00:00:00.0612389,00:00:46.2530102,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 23:33:18,00:00:00.0608315,00:00:45.9331464,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 23:34:13,00:00:00.0660721,00:00:44.1042640,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 23:35:06,00:00:00.0609654,00:00:43.4587386,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 23:35:59,00:00:00.0658853,00:00:46.4513705,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 23:36:52,00:00:00.0614381,00:00:46.5266394,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 23:37:46,00:00:00.0629548,00:00:46.0907153,16384,[SLM01|LB01|BBT01|PSC01],False,
