Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/19/2026 14:48:21,00:00:00.0669021,00:02:07.4979246,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 14:50:43,00:00:00.0697027,00:02:06.3837032,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 14:53:06,00:00:00.2050958,00:02:05.0885478,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 14:55:26,00:00:00.0687310,00:02:06.7388976,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 14:57:47,00:00:00.0697717,00:02:04.3725592,16384,[PSC01|LB01|SLM01|BBT01],False,
04/19/2026 15:00:08,00:00:00.0722541,00:02:07.0213853,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 15:02:31,00:00:00.0700739,00:02:06.9314124,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 15:04:52,00:00:00.0786666,00:02:07.7306016,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 15:07:14,00:00:00.2069083,00:02:10.6760558,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 15:09:39,00:00:00.0751061,00:02:07.5471300,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 15:12:01,00:00:00.0679549,00:02:04.8806132,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 15:14:23,00:00:00.0751773,00:02:08.0308460,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 15:16:45,00:00:00.0736179,00:02:06.0635334,16384,[SLM01|PSC01|BBT01|LB01],False,
04/19/2026 15:19:07,00:00:00.0718087,00:02:07.0922840,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 15:21:28,00:00:00.2953873,00:02:06.6782096,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 15:23:51,00:00:00.0699052,00:02:03.7319404,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 15:26:10,00:00:00.0653388,00:02:05.9008395,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 15:28:31,00:00:00.0642278,00:02:05.2118764,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 15:30:52,00:00:00.0692483,00:02:05.4759895,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 15:33:13,00:00:00.2494664,00:02:04.9978757,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 15:35:35,00:00:00.1578476,00:02:05.6664720,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 15:37:56,00:00:00.2592549,00:02:06.3919891,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 15:40:17,00:00:00.0928076,00:02:08.1911339,16384,[LB01|PSC01|SLM01|BBT01],False,
04/19/2026 15:42:38,00:00:00.2055778,00:02:08.4730090,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 15:45:03,00:00:00.0736243,00:02:06.8676454,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 15:47:24,00:00:00.0653165,00:02:07.1336776,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 15:49:47,00:00:00.0663758,00:02:04.5454662,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 15:52:07,00:00:00.0689490,00:02:04.1370007,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 15:54:27,00:00:00.0625752,00:02:05.6292054,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 15:56:49,00:00:00.1970333,00:02:06.1220874,16384,[LB01|SLM01|BBT01|PSC01],False,
04/19/2026 15:59:08,00:00:00.0706259,00:02:05.7545430,16384,[LB01|BBT01|PSC01|SLM01],False,
04/19/2026 16:01:30,00:00:00.0745422,00:02:05.1825901,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 16:03:49,00:00:00.0682904,00:02:03.9332154,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 16:06:11,00:00:00.2902640,00:02:06.1310145,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 16:08:31,00:00:00.0608530,00:02:07.0188688,16384,[BBT01|LB01|SLM01|PSC01],False,
04/19/2026 16:10:53,00:00:00.0687876,00:02:02.8405438,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 16:13:12,00:00:00.0735813,00:02:04.3725801,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 16:15:30,00:00:00.3004983,00:02:04.8343280,16384,[SLM01|PSC01|LB01|BBT01],False,
