Mode,Ordering,Slots,TTFB Miliseconds,TTLB Miliseconds,Blocks,Id,ActualSlot
EarlyClose,Ordered,4,168.732,31176.03,1924,0,0
EarlyClose,Unordered,4,59.9076,81053.0293,10644,1,2
FixedBudget,Ordered,4,79.1359,121640.374,16384,2,0
FixedBudget,Unordered,4,82.1361,124746.8822,16384,3,0
EarlyClose,Ordered,4,56.5184,31002.6161,2014,4,0
EarlyClose,Unordered,4,64.9919,106077.0018,14623,5,3
FixedBudget,Ordered,4,58.6328,121927.5052,16384,6,0
FixedBudget,Unordered,4,58.8817,124133.0477,16384,7,3
EarlyClose,Ordered,4,59.0057,31446.0207,1981,8,0
EarlyClose,Unordered,4,63.4256,106536.6934,14700,9,3
FixedBudget,Ordered,4,62.525,121038.3709,16384,10,0
FixedBudget,Unordered,4,60.1703,124417.9774,16384,11,2
EarlyClose,Ordered,4,55.3445,31692.8563,1915,12,0
EarlyClose,Unordered,4,61.0205,56603.9304,6474,13,1
FixedBudget,Ordered,4,56.797,123315.1701,16384,14,0
FixedBudget,Unordered,4,60.7065,125942.6365,16384,15,3
EarlyClose,Ordered,4,55.8086,30991.1357,1927,16,0
EarlyClose,Unordered,4,60.8579,81410.7755,10356,17,2
FixedBudget,Ordered,4,57.1258,123016.7002,16384,18,0
FixedBudget,Unordered,4,55.1923,124468.3303,16384,19,2
EarlyClose,Ordered,4,57.806,31947.7632,2052,20,0
EarlyClose,Unordered,4,65.4489,106320.8645,14568,21,3
FixedBudget,Ordered,4,58.1285,122658.5175,16384,22,0
FixedBudget,Unordered,4,58.0582,124369.3963,16384,23,3
EarlyClose,Ordered,4,61.3523,31660.7348,2031,24,0
EarlyClose,Unordered,4,60.5589,56837.7335,6319,25,1
FixedBudget,Ordered,4,58.0602,121577.3556,16384,26,0
FixedBudget,Unordered,4,59.7966,127524.5678,16384,27,0
EarlyClose,Ordered,4,56.3598,31657.8882,1875,28,0
EarlyClose,Unordered,4,58.494,106632.8729,14697,29,3
FixedBudget,Ordered,4,58.6333,122086.2038,16384,30,0
FixedBudget,Unordered,4,73.4557,124131.8074,16384,31,1
EarlyClose,Ordered,4,55.2498,31752.73,1998,32,0
