Peak Heap,Lowest Heap
129808,43512
129384,43472
128980,43388
128980,43388
128980,43388
128980,43388
128980,43388
128980,43388
128980,43388
128988,43388
128988,43388
128976,43388
128980,43388
128980,43388
128980,43388
129200,43388
128980,43388
128980,43388
128980,43344
128980,43344
128980,43344
128980,43344
128988,43344
128988,43344
128988,43344
128988,43344
128988,43344
128980,43344
129404,43344
129388,43344
129400,43344
129400,43344
129404,43344
129404,43344
128980,41928
128980,41928
128984,41928
129200,41928
129412,41928
129412,41928
128988,41928
128980,41928
128976,41928
128984,41928
128980,41928
128980,41928
128980,41928
129192,41928
128980,41928
129192,41928
128980,41928
128968,41928
128980,41928
128980,41928
129404,41928
128976,41928
128956,41928
128956,41928
128960,41928
128980,41928
128980,41928
128980,41928
129192,41928
128980,41928
129192,41928
128980,41928
129412,41928
129192,41928
128980,41928
128864,41928
128968,41928
128988,41928
128988,41928
128984,41928
128976,41928
128976,41928
128988,41928
128988,41928
128988,41928
128988,41928
128988,41928
129404,41928
128976,41928
129408,41928
128976,41928
128980,41928
128988,41928
128988,41928
128980,41928
128980,41928
128980,41928
128980,41928
128856,41928
128980,41928
128980,41928
128980,41928
129404,41928
128980,41928
129404,41928
128980,41928
