Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 11:01:38,00:00:00.1687320,00:00:47.4823328,1924,[BBT01|LB01|PSC01|SLM01],True,00:00:31.1760300
04/18/2026 11:02:17,00:00:00.0565184,00:00:47.9899373,2014,[BBT01|LB01|PSC01|SLM01],True,00:00:31.0026161
04/18/2026 11:02:56,00:00:00.0590057,00:00:48.7435837,1981,[BBT01|LB01|PSC01|SLM01],True,00:00:31.4460207
04/18/2026 11:03:36,00:00:00.0553445,00:00:49.7391815,1915,[BBT01|LB01|PSC01|SLM01],True,00:00:31.6928563
04/18/2026 11:04:16,00:00:00.0558086,00:00:48.8861742,1927,[BBT01|LB01|PSC01|SLM01],True,00:00:30.9911357
04/18/2026 11:04:56,00:00:00.0578060,00:00:48.2805768,2052,[BBT01|LB01|PSC01|SLM01],True,00:00:31.9477632
04/18/2026 11:05:36,00:00:00.0613523,00:00:47.9545895,2031,[BBT01|LB01|PSC01|SLM01],True,00:00:31.6607348
04/18/2026 11:06:16,00:00:00.0563598,00:00:49.6996313,1875,[BBT01|LB01|PSC01|SLM01],True,00:00:31.6578882
04/18/2026 11:06:56,00:00:00.0552498,00:00:48.8542251,1998,[BBT01|LB01|PSC01|SLM01],True,00:00:31.7527300
04/18/2026 11:07:36,00:00:00.1793802,00:00:48.0785571,1978,[BBT01|LB01|PSC01|SLM01],True,00:00:31.7819380
04/18/2026 11:08:16,00:00:00.0557948,00:00:48.3237387,1981,[BBT01|LB01|PSC01|SLM01],True,00:00:31.6947944
04/18/2026 11:08:56,00:00:00.0580551,00:00:49.4800213,1874,[BBT01|LB01|PSC01|SLM01],True,00:00:31.6770192
04/18/2026 11:09:36,00:00:00.0561893,00:00:48.1580333,1979,[BBT01|LB01|PSC01|SLM01],True,00:00:31.6100757
04/18/2026 11:10:16,00:00:00.2372639,00:00:48.2155194,1937,[BBT01|LB01|PSC01|SLM01],True,00:00:31.8035572
04/18/2026 11:10:55,00:00:00.0582172,00:00:49.0738595,1971,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5492820
04/18/2026 11:11:35,00:00:00.0531560,00:00:48.9509356,1862,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5752838
04/18/2026 11:12:15,00:00:00.0566536,00:00:48.0803997,1914,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5380279
04/18/2026 11:12:55,00:00:00.0586849,00:00:47.9792411,1985,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5755890
04/18/2026 11:13:34,00:00:00.0570324,00:00:48.9447835,1971,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5384915
04/18/2026 11:14:14,00:00:00.0563490,00:00:49.1211664,1927,[BBT01|LB01|PSC01|SLM01],True,00:00:31.7024398
04/18/2026 11:14:54,00:00:00.0596365,00:00:48.0134428,1983,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5732772
04/18/2026 11:15:34,00:00:00.0600602,00:00:47.7919737,1996,[BBT01|LB01|PSC01|SLM01],True,00:00:31.2605756
04/18/2026 11:16:13,00:00:00.0598939,00:00:48.9032573,1985,[BBT01|LB01|PSC01|SLM01],True,00:00:31.4954332
04/18/2026 11:16:53,00:00:00.0542827,00:00:49.0634672,1980,[BBT01|LB01|PSC01|SLM01],True,00:00:31.5506123
04/18/2026 11:17:33,00:00:00.0582883,00:00:47.4771031,1968,[BBT01|LB01|PSC01|SLM01],True,00:00:32.2872211
