Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 11:20:22,00:00:00.0601613,00:01:06.0979700,6262,[BBT01|LB01|PSC01|SLM01],True,00:00:54.5266881
04/18/2026 11:21:25,00:00:00.0611706,00:01:06.3991909,6370,[BBT01|LB01|PSC01|SLM01],True,00:00:54.9549965
04/18/2026 11:22:28,00:00:00.0569191,00:01:06.9294274,6199,[BBT01|LB01|PSC01|SLM01],True,00:00:55.2267625
04/18/2026 11:23:32,00:00:00.1830341,00:01:06.5088530,6205,[BBT01|LB01|PSC01|SLM01],True,00:00:54.7154245
04/18/2026 11:24:35,00:00:00.0641074,00:01:06.7076482,6312,[BBT01|LB01|PSC01|SLM01],True,00:00:54.8201361
04/18/2026 11:25:39,00:00:00.0557126,00:01:06.3429517,6506,[BBT01|LB01|PSC01|SLM01],True,00:00:54.6715784
04/18/2026 11:26:42,00:00:00.2023591,00:01:09.8495077,6217,[BBT01|LB01|PSC01|SLM01],True,00:00:57.7139730
04/18/2026 11:27:48,00:00:00.0564937,00:01:06.1708169,6609,[BBT01|LB01|PSC01|SLM01],True,00:00:54.7201873
04/18/2026 11:28:52,00:00:00.0549619,00:01:06.4919408,6283,[BBT01|LB01|PSC01|SLM01],True,00:00:54.8495336
04/18/2026 11:29:55,00:00:00.1799921,00:01:06.6133025,6383,[BBT01|LB01|PSC01|SLM01],True,00:00:55.1006665
04/18/2026 11:30:58,00:00:00.0827759,00:01:06.6832310,6196,[BBT01|LB01|PSC01|SLM01],True,00:00:54.8713988
04/18/2026 11:32:02,00:00:00.0602253,00:01:06.6161224,6399,[BBT01|LB01|PSC01|SLM01],True,00:00:55.1469778
04/18/2026 11:33:05,00:00:00.0581613,00:01:06.1477430,6429,[BBT01|LB01|PSC01|SLM01],True,00:00:55.8095907
04/18/2026 11:34:08,00:00:00.0644010,00:01:06.9748227,6237,[BBT01|LB01|PSC01|SLM01],True,00:00:55.9335905
04/18/2026 11:35:12,00:00:00.0628333,00:01:06.4460294,6393,[BBT01|LB01|PSC01|SLM01],True,00:00:55.7893596
04/18/2026 11:36:15,00:00:00.0568921,00:01:07.6484123,6351,[BBT01|LB01|PSC01|SLM01],True,00:00:56.6753508
04/18/2026 11:37:20,00:00:00.0615858,00:01:07.2847181,6443,[BBT01|LB01|PSC01|SLM01],True,00:00:55.8435370
04/18/2026 11:38:24,00:00:00.1925128,00:01:07.1090482,6362,[BBT01|LB01|PSC01|SLM01],True,00:00:55.5380053
04/18/2026 11:39:28,00:00:00.0599552,00:01:07.3895751,6324,[BBT01|LB01|PSC01|SLM01],True,00:00:55.7974196
04/18/2026 11:40:32,00:00:00.0921534,00:01:07.1477934,6464,[BBT01|LB01|PSC01|SLM01],True,00:00:55.7330935
04/18/2026 11:41:37,00:00:00.0585535,00:01:06.6661198,6209,[BBT01|LB01|PSC01|SLM01],True,00:00:55.8362339
04/18/2026 11:42:41,00:00:00.2164518,00:01:06.6152765,6299,[BBT01|LB01|PSC01|SLM01],True,00:00:55.8324505
04/18/2026 11:43:46,00:00:00.0579436,00:01:06.7752511,6237,[BBT01|LB01|PSC01|SLM01],True,00:00:55.7627551
04/18/2026 11:44:50,00:00:00.0553307,00:01:06.6127034,6339,[BBT01|LB01|PSC01|SLM01],True,00:00:55.7334678
04/18/2026 11:45:53,00:00:00.2035031,00:01:07.3530645,6217,[BBT01|LB01|PSC01|SLM01],True,00:00:56.4493678
