Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 14:26:30,00:00:00.0614612,00:01:47.1265279,14710,[BBT01|LB01|PSC01|SLM01],True,00:01:44.9788470
04/18/2026 14:28:22,00:00:00.0599172,00:01:47.0670114,14430,[BBT01|LB01|PSC01|SLM01],True,00:01:44.5041857
04/18/2026 14:30:15,00:00:00.0604497,00:01:46.7429524,14226,[BBT01|LB01|PSC01|SLM01],True,00:01:45.1324254
04/18/2026 14:32:07,00:00:00.0590737,00:01:47.0028637,14618,[BBT01|LB01|PSC01|SLM01],True,00:01:44.7286867
04/18/2026 14:34:01,00:00:00.0799418,00:01:46.2018290,14589,[BBT01|LB01|PSC01|SLM01],True,00:01:43.9128973
04/18/2026 14:35:53,00:00:00.0653171,00:01:47.1513266,14539,[BBT01|LB01|PSC01|SLM01],True,00:01:44.7863048
04/18/2026 14:37:45,00:00:00.0600765,00:01:48.6857139,14498,[BBT01|LB01|PSC01|SLM01],True,00:01:46.2708121
04/18/2026 14:39:40,00:00:00.0645863,00:01:46.1658628,14787,[BBT01|LB01|PSC01|SLM01],True,00:01:44.1428508
04/18/2026 14:41:32,00:00:00.0631668,00:01:49.4482432,14535,[BBT01|LB01|PSC01|SLM01],True,00:01:47.0580694
04/18/2026 14:43:27,00:00:00.0597929,00:01:46.5134180,14509,[BBT01|LB01|PSC01|SLM01],True,00:01:45.9377245
04/18/2026 14:45:19,00:00:00.0592649,00:01:47.8422347,14642,[BBT01|LB01|PSC01|SLM01],True,00:01:45.6620865
04/18/2026 14:47:14,00:00:00.0608343,00:01:47.4321172,14542,[BBT01|LB01|PSC01|SLM01],True,00:01:45.0928465
04/18/2026 14:49:06,00:00:00.0598098,00:01:47.5852866,14465,[BBT01|LB01|PSC01|SLM01],True,00:01:45.1272893
04/18/2026 14:51:00,00:00:00.0584102,00:01:46.6375796,14421,[BBT01|LB01|PSC01|SLM01],True,00:01:44.1671709
04/18/2026 14:52:52,00:00:00.0584784,00:01:46.5557769,14597,[BBT01|LB01|PSC01|SLM01],True,00:01:44.2583201
04/18/2026 14:54:45,00:00:00.1320556,00:01:46.9596864,14659,[BBT01|LB01|PSC01|SLM01],True,00:01:44.7504175
04/18/2026 14:56:37,00:00:00.0577795,00:01:46.6337685,14594,[BBT01|LB01|PSC01|SLM01],True,00:01:44.3358586
04/18/2026 14:58:30,00:00:00.0590084,00:01:45.4814175,14638,[BBT01|LB01|PSC01|SLM01],True,00:01:43.3567185
04/18/2026 15:00:22,00:00:00.0627696,00:01:47.0961061,14682,[BBT01|LB01|PSC01|SLM01],True,00:01:44.9276156
04/18/2026 15:02:15,00:00:00.0627419,00:01:46.3071075,14626,[BBT01|LB01|PSC01|SLM01],True,00:01:44.0401937
04/18/2026 15:04:07,00:00:00.0630188,00:01:47.1632868,14742,[BBT01|LB01|PSC01|SLM01],True,00:01:45.0763802
04/18/2026 15:06:00,00:00:00.0643419,00:01:47.1237991,14511,[BBT01|LB01|PSC01|SLM01],True,00:01:44.8101638
04/18/2026 15:07:53,00:00:00.0702557,00:01:45.8979330,14818,[BBT01|LB01|PSC01|SLM01],True,00:01:44.0420497
04/18/2026 15:09:46,00:00:00.0617080,00:01:45.6600479,14625,[BBT01|LB01|PSC01|SLM01],True,00:01:43.5600968
04/18/2026 15:11:38,00:00:00.0628369,00:01:48.4456826,14621,[BBT01|LB01|PSC01|SLM01],True,00:01:46.3023515
