Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 15:17:44,00:00:00.0791359,00:02:01.6403740,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:20:00,00:00:00.0586328,00:02:01.9275052,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:22:19,00:00:00.0625250,00:02:01.0383709,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:24:37,00:00:00.0567970,00:02:03.3151701,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:26:54,00:00:00.0571258,00:02:03.0167002,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:29:13,00:00:00.0581285,00:02:02.6585175,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:31:29,00:00:00.0580602,00:02:01.5773556,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:33:47,00:00:00.0586333,00:02:02.0862038,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:36:05,00:00:00.0593203,00:02:03.2569028,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:38:23,00:00:00.0623541,00:02:03.2256593,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:40:41,00:00:00.0587892,00:02:04.7325851,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:43:02,00:00:00.0628200,00:02:03.4067913,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:45:21,00:00:00.0590074,00:02:05.3441122,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:47:41,00:00:00.0570804,00:02:02.8898444,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:49:59,00:00:00.0620608,00:02:03.4223164,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:52:19,00:00:00.0625006,00:02:03.7223527,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:54:36,00:00:00.0584033,00:02:00.2825637,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:56:54,00:00:00.0605493,00:02:02.4117640,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 15:59:11,00:00:00.0616462,00:02:02.2650060,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:01:30,00:00:00.0633881,00:02:01.3229507,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:03:47,00:00:00.0587281,00:02:03.1909268,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:06:04,00:00:00.0581036,00:02:03.3720658,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:08:23,00:00:00.0583740,00:02:01.1138175,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:10:40,00:00:00.0597985,00:02:06.2215045,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 16:13:00,00:00:00.0648970,00:02:03.0935048,16384,[BBT01|LB01|PSC01|SLM01],False,
