Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 18:13:46,00:00:00.0623334,00:01:54.9512194,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:15:57,00:00:00.0621998,00:01:59.1592273,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:18:11,00:00:00.0632029,00:01:53.7942437,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:20:23,00:00:00.0623971,00:01:55.6405854,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:22:35,00:00:00.0776890,00:01:55.0283734,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:24:46,00:00:00.0709709,00:01:54.6511649,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:26:59,00:00:00.0664956,00:01:56.2021908,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:29:11,00:00:00.0601847,00:01:58.8298323,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:31:25,00:00:00.0614010,00:01:55.7520485,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:33:38,00:00:00.0633936,00:01:59.4979601,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:35:51,00:00:00.0601328,00:01:58.1460919,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:38:03,00:00:00.0603551,00:01:55.4209823,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:40:16,00:00:00.0624372,00:02:00.4156123,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:42:29,00:00:00.0592944,00:01:57.0339460,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:44:42,00:00:00.0647994,00:01:56.2252385,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:46:55,00:00:00.0625306,00:01:59.5985306,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:49:08,00:00:00.0632150,00:01:54.4423410,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:51:20,00:00:00.0626732,00:01:53.7381038,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:53:32,00:00:00.0613792,00:01:57.0741723,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:55:43,00:00:00.0607513,00:01:56.2832059,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 18:57:55,00:00:00.0649643,00:01:55.8292860,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 19:00:07,00:00:00.0615058,00:01:54.8244727,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 19:02:18,00:00:00.0650068,00:01:56.7271328,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 19:04:31,00:00:00.0651069,00:01:54.7183498,16384,[BBT01|LB01|PSC01|SLM01],False,
04/18/2026 19:06:43,00:00:00.0642161,00:01:54.8478482,16384,[BBT01|LB01|PSC01|SLM01],False,
