Peak Heap,Lowest Heap
129364,43780
128728,43780
128524,43456
128524,43360
128536,43360
128536,43360
128524,43360
128536,43360
128532,43360
128524,43360
128340,43360
128336,43360
128532,43360
128524,43360
128316,43360
128520,43360
128516,43360
128520,43360
128520,43344
128532,43344
128532,43344
128536,43344
128536,43344
128340,43344
128540,43344
128532,43344
128336,43344
128532,43344
128528,43344
128520,43344
128520,43344
128520,43344
128532,43344
128532,43344
128528,43344
128520,43344
128532,43344
128332,43344
128516,43344
128516,43344
128532,43344
128532,43344
128520,43344
128536,43344
128544,43344
128524,43344
128524,43344
128524,43344
128520,43344
128532,43344
128516,43344
128528,43344
128532,43344
128520,43344
128528,43344
128532,43344
128532,43344
128508,43344
128520,43344
128520,43344
128520,43344
128532,43344
128532,43344
128520,43344
128520,43344
128324,43344
128532,43344
128532,43344
128544,43344
128340,43344
128532,43344
128532,43344
128532,43344
128520,43344
128520,43344
128520,43344
128528,43344
128520,43344
128520,43344
128532,43344
128520,43344
128328,43344
128528,43344
128520,43344
128536,43344
128528,43344
128536,43344
128536,43344
128536,43344
128536,43344
128524,43344
128516,43344
128340,43344
128516,43344
128532,43344
128532,43344
128532,43344
128532,43344
128520,43344
128324,43344
