Client Start,Client End,Delta
4387807,29668216,25280409
35513771,60658212,25144441
67021362,92238216,25216854
98278022,123508217,25230195
129890826,154988212,25097386
161132809,186059535,24926726
192501692,217578205,25076513
223753011,248908212,25155201
255363117,280348208,24985091
286521514,311528209,25006695
318038814,343008236,24969422
349247738,374358208,25110470
380909891,406108216,25198325
412379707,437518217,25138510
444159270,469118224,24958954
475410928,500448213,25037285
506985253,532198212,25212959
538540078,563748216,25208138
569671909,594808523,25136614
601210767,626288209,25077442
632341491,657598216,25256725
664011124,689008216,24997092
695151677,720378205,25226528
726820867,751868651,25047784
758012223,783258209,25245986
789713354,814798216,25084862
820993719,845978216,24984497
852497401,877578220,25080819
883813112,908868216,25055104
915458698,940779009,25320311
947050210,972048709,24998499
978642391,1003628205,24985814
1009943161,1034928216,24985055
1041456292,1066508220,25051928
1072860401,1097898216,25037815
1103756744,1128728217,24971473
1135119293,1160208209,25088916
1166268390,1191378216,25109826
1197810515,1223078220,25267705
1229222294,1254308216,25085922
1260760903,1285848393,25087490
1292020413,1320118217,28097804
1326610385,1354198212,27587827
1360406900,1386938212,26531312
1393488775,1418248216,24759441
1424491524,1448938537,24447013
1455531672,1480048217,24516545
1486364693,1511018216,24653523
1517726825,1542448212,24721387
1548792816,1573428217,24635401
1579994831,1604488212,24493381
1610872846,1635448217,24575371
1641382934,1665848542,24465608
1672258506,1696838213,24579707
1702923948,1727738213,24814265
1734182108,1758828217,24646109
1765007419,1789658217,24650798
1796118495,1820658216,24539721
1826873084,1851348216,24475132
1857834269,1882328217,24493948
1888561984,1913178220,24616236
1919704112,1944098216,24394104
1950412940,1975328208,24915268
1981993381,2006738216,24744835
2013093458,2037788217,24694759
2044410928,2068908217,24497289
2075263065,2099588217,24325152
2106093898,2130508217,24414319
2136903956,2161628217,24724261
2167584091,2192218234,24634143
2198634261,2223098216,24463955
2229214058,2254198216,24984158
2260654252,2285278208,24623956
2291512034,2316298217,24786183
2322802774,2347218216,24415442
2353454466,2377898533,24444067
2384431771,2409188213,24756442
2415432458,2440018216,24585758
2446642634,2471248216,24605582
2477549744,2502148216,24598472
2508732360,2533348216,24615856
2539700346,2564258228,24557882
2570909044,2595428217,24519173
2601785026,2626358217,24573191
2632924101,2657608216,24684115
2663993976,2688468216,24474240
2694422151,2718878217,24456066
2725300680,2749748212,24447532
2755874153,2780348216,24474063
2786883434,2811198212,24314778
2817422703,2841988217,24565514
2848512901,2873098216,24585315
2879361605,2904168212,24806607
2910763304,2935248216,24484912
2941582546,2966018224,24435678
2972662323,2997178216,24515893
3003593963,3028118213,24524250
3034812541,3059248216,24435675
3065613617,3090268217,24654600
3096992605,3121488216,24495611
