Peak Heap,Lowest Heap
129796,44340
129372,44264
129400,44264
129400,43344
129400,43344
129400,43344
129400,43344
128976,43344
129392,43344
128968,43344
129400,43344
129400,43344
129400,43344
129400,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128852,43344
128972,43344
128972,43344
129400,43344
128976,43344
129392,43344
128968,43344
129400,43344
128976,43344
128968,43344
128968,43344
128968,43344
128976,43344
128976,43344
128976,43344
128852,43344
129400,43344
129400,43344
128976,43344
129400,43344
128972,43344
128972,43344
128972,43344
128548,43344
128544,43344
128968,43344
128968,43344
128968,43344
128968,43344
128968,43344
128972,43344
128972,43344
128972,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128976,43344
128984,43344
128984,43344
128984,43344
128852,43344
128976,43344
128976,43344
129408,43344
128984,43344
128976,43344
128976,43344
128976,43344
128984,43344
129400,43344
128976,43344
128976,43344
128984,43344
128976,43344
128976,43344
128960,43344
128968,43344
128960,43344
128960,43344
128960,43344
128968,43344
128960,43344
128976,43344
129380,43344
129400,43344
128976,43344
129372,43344
129372,43344
128948,43344
128956,43344
128956,43344
128956,43344
128956,43344
