Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 19:25:23,00:00:00.0599076,00:01:28.1877953,10644,[SLM01|PSC01|BBT01|LB01],True,00:01:21.0530293
04/18/2026 19:26:53,00:00:00.0649919,00:01:48.2913221,14623,[LB01|SLM01|PSC01|BBT01],True,00:01:46.0770018
04/18/2026 19:28:48,00:00:00.0634256,00:01:48.6507465,14700,[SLM01|PSC01|LB01|BBT01],True,00:01:46.5366934
04/18/2026 19:30:44,00:00:00.0610205,00:01:08.9681810,6474,[SLM01|BBT01|PSC01|LB01],True,00:00:56.6039304
04/18/2026 19:31:49,00:00:00.0608579,00:01:29.1067773,10356,[PSC01|SLM01|BBT01|LB01],True,00:01:21.4107755
04/18/2026 19:33:19,00:00:00.0654489,00:01:48.6081478,14568,[PSC01|SLM01|LB01|BBT01],True,00:01:46.3208645
04/18/2026 19:35:15,00:00:00.0605589,00:01:09.4970768,6319,[SLM01|BBT01|PSC01|LB01],True,00:00:56.8377335
04/18/2026 19:36:21,00:00:00.0584940,00:01:48.9376130,14697,[PSC01|SLM01|LB01|BBT01],True,00:01:46.6328729
04/18/2026 19:38:16,00:00:00.0643596,00:01:28.7131370,10672,[LB01|PSC01|BBT01|SLM01],True,00:01:21.4769879
04/18/2026 19:39:46,00:00:00.0622346,00:01:28.8394586,10638,[SLM01|PSC01|BBT01|LB01],True,00:01:21.6653301
04/18/2026 19:41:16,00:00:00.0595181,00:01:31.6632239,10375,[LB01|SLM01|BBT01|PSC01],True,00:01:24.5212571
04/18/2026 19:42:50,00:00:00.1349205,00:01:49.6827601,14544,[PSC01|LB01|SLM01|BBT01],True,00:01:49.3944607
04/18/2026 19:44:46,00:00:00.1301067,00:01:09.9020107,6230,[PSC01|BBT01|SLM01|LB01],True,00:00:57.3640827
04/18/2026 19:45:53,00:00:00.2118637,00:01:29.6795492,10335,[SLM01|LB01|BBT01|PSC01],True,00:01:22.4273419
04/18/2026 19:47:24,00:00:00.2034581,00:00:48.1290078,1869,[BBT01|LB01|SLM01|PSC01],True,00:00:32.5067487
04/18/2026 19:48:06,00:00:00.2087925,00:00:47.8001854,1935,[BBT01|LB01|SLM01|PSC01],True,00:00:32.4490441
04/18/2026 19:48:45,00:00:00.0631732,00:00:49.5824200,2058,[BBT01|LB01|PSC01|SLM01],True,00:00:32.2817982
04/18/2026 19:49:27,00:00:00.0649382,00:01:29.3111360,10492,[SLM01|PSC01|BBT01|LB01],True,00:01:22.3180420
04/18/2026 19:50:58,00:00:00.0645029,00:00:47.6505644,1926,[BBT01|SLM01|LB01|PSC01],True,00:00:32.2725197
04/18/2026 19:51:39,00:00:00.0605826,00:01:07.2327432,6491,[SLM01|BBT01|PSC01|LB01],True,00:00:57.3009605
04/18/2026 19:52:45,00:00:00.1918044,00:01:48.7188518,14857,[PSC01|SLM01|LB01|BBT01],True,00:01:46.8705627
04/18/2026 19:54:41,00:00:00.2125676,00:01:50.4845355,14536,[SLM01|PSC01|LB01|BBT01],True,00:01:48.2522861
04/18/2026 19:56:36,00:00:00.0684727,00:01:29.2037465,10387,[PSC01|LB01|BBT01|SLM01],True,00:01:23.9958257
04/18/2026 19:58:07,00:00:00.2934249,00:01:09.9760097,6296,[LB01|BBT01|SLM01|PSC01],True,00:00:57.7661984
04/18/2026 19:59:14,00:00:00.0603236,00:01:09.5615504,6223,[LB01|BBT01|SLM01|PSC01],True,00:00:57.4786037
