Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 20:07:56,00:00:00.0626032,00:01:47.7193435,14765,[BBT01|SLM01|PSC01|LB01],True,00:01:45.6603931
04/18/2026 20:09:50,00:00:00.0579493,00:01:06.6307428,6297,[BBT01|LB01|SLM01|PSC01],True,00:00:53.9706692
04/18/2026 20:10:53,00:00:00.0570220,00:01:25.9715625,10645,[SLM01|BBT01|LB01|PSC01],True,00:01:18.8039017
04/18/2026 20:12:20,00:00:00.0595188,00:01:46.2624167,14709,[SLM01|PSC01|BBT01|LB01],True,00:01:44.1363489
04/18/2026 20:14:13,00:00:00.0638220,00:01:26.4400872,10551,[PSC01|SLM01|LB01|BBT01],True,00:01:19.0331075
04/18/2026 20:15:41,00:00:00.1792339,00:01:07.1063180,6289,[BBT01|LB01|SLM01|PSC01],True,00:00:54.3017512
04/18/2026 20:16:44,00:00:00.0604042,00:01:06.3581746,6553,[SLM01|LB01|PSC01|BBT01],True,00:00:54.1252617
04/18/2026 20:17:47,00:00:00.0606554,00:00:45.2648123,1868,[LB01|SLM01|PSC01|BBT01],True,00:00:29.1502465
04/18/2026 20:18:25,00:00:00.0596819,00:01:26.8205072,10516,[SLM01|BBT01|LB01|PSC01],True,00:01:19.4512815
04/18/2026 20:19:53,00:00:00.0603079,00:01:07.0926763,6240,[PSC01|LB01|SLM01|BBT01],True,00:00:54.2108631
04/18/2026 20:20:56,00:00:00.0605040,00:01:07.1078904,6237,[SLM01|LB01|BBT01|PSC01],True,00:00:53.8050587
04/18/2026 20:21:58,00:00:00.0625080,00:01:46.4048788,14751,[SLM01|BBT01|PSC01|LB01],True,00:01:44.1895966
04/18/2026 20:23:51,00:00:00.0655452,00:01:07.0232613,6284,[PSC01|LB01|BBT01|SLM01],True,00:00:54.1348223
04/18/2026 20:24:54,00:00:00.0587502,00:00:47.6732564,1877,[LB01|SLM01|PSC01|BBT01],True,00:00:29.6644073
04/18/2026 20:25:32,00:00:00.0598754,00:01:07.7292697,6252,[BBT01|LB01|PSC01|SLM01],True,00:00:54.6334381
04/18/2026 20:26:36,00:00:00.0610168,00:00:46.7910921,1928,[LB01|SLM01|PSC01|BBT01],True,00:00:29.8471494
04/18/2026 20:27:14,00:00:00.0597665,00:00:46.4191657,1983,[LB01|SLM01|PSC01|BBT01],True,00:00:29.7312047
04/18/2026 20:27:51,00:00:00.0583541,00:01:07.6482468,6502,[BBT01|LB01|SLM01|PSC01],True,00:00:56.7154310
04/18/2026 20:28:54,00:00:00.0576222,00:00:48.1600955,2030,[LB01|SLM01|PSC01|BBT01],True,00:00:29.4722335
04/18/2026 20:29:33,00:00:00.0704558,00:01:49.2026101,14390,[BBT01|PSC01|SLM01|LB01],True,00:01:46.6443652
04/18/2026 20:31:26,00:00:00.0664733,00:01:30.3371567,10292,[BBT01|PSC01|LB01|SLM01],True,00:01:21.2505901
04/18/2026 20:32:56,00:00:00.0638929,00:01:06.0624794,6386,[BBT01|LB01|PSC01|SLM01],True,00:00:54.9814391
04/18/2026 20:33:59,00:00:00.0622778,00:01:46.0711436,14814,[BBT01|PSC01|SLM01|LB01],True,00:01:43.9192662
04/18/2026 20:35:52,00:00:00.0620759,00:01:48.3459218,14648,[SLM01|BBT01|PSC01|LB01],True,00:01:45.9084075
04/18/2026 20:37:45,00:00:00.0638656,00:01:27.7142422,10435,[SLM01|BBT01|LB01|PSC01],True,00:01:21.2966898
