Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 21:05:08,00:00:00.0641030,00:01:24.8340744,10619,[SLM01|LB01|PSC01|BBT01],True,00:01:17.5826734
04/18/2026 21:06:34,00:00:00.0665117,00:01:42.3961377,14612,[SLM01|BBT01|LB01|PSC01],True,00:01:42.3295004
04/18/2026 21:08:23,00:00:00.0629517,00:01:28.0264443,10439,[SLM01|BBT01|PSC01|LB01],True,00:01:20.4640161
04/18/2026 21:09:51,00:00:00.0583157,00:00:47.2341864,1924,[PSC01|BBT01|LB01|SLM01],True,00:00:28.6248765
04/18/2026 21:10:26,00:00:00.0616594,00:00:47.5995793,1871,[PSC01|BBT01|SLM01|LB01],True,00:00:26.5763834
04/18/2026 21:11:01,00:00:00.0605007,00:01:25.0377169,10410,[BBT01|LB01|PSC01|SLM01],True,00:01:18.4269211
04/18/2026 21:12:26,00:00:00.0667552,00:01:27.3332567,10477,[SLM01|LB01|PSC01|BBT01],True,00:01:18.4217073
04/18/2026 21:13:54,00:00:00.0636543,00:00:46.5884984,1952,[PSC01|LB01|SLM01|BBT01],True,00:00:26.7779778
04/18/2026 21:14:27,00:00:00.2503220,00:01:46.4887433,14451,[BBT01|SLM01|LB01|PSC01],True,00:01:43.5167103
04/18/2026 21:16:19,00:00:00.0670664,00:00:46.4731730,1926,[PSC01|LB01|SLM01|BBT01],True,00:00:26.6337736
04/18/2026 21:16:55,00:00:00.0631184,00:01:25.0940638,10316,[BBT01|LB01|PSC01|SLM01],True,00:01:16.0914819
04/18/2026 21:18:19,00:00:00.0625624,00:01:06.4948877,6419,[BBT01|PSC01|SLM01|LB01],True,00:00:51.4231396
04/18/2026 21:19:20,00:00:00.0584139,00:01:07.9968041,6431,[LB01|PSC01|SLM01|BBT01],True,00:00:51.4313756
04/18/2026 21:20:20,00:00:00.0617781,00:00:47.1791441,1974,[PSC01|LB01|SLM01|BBT01],True,00:00:26.4013719
04/18/2026 21:20:55,00:00:00.0614781,00:01:43.4872154,14611,[SLM01|BBT01|LB01|PSC01],True,00:01:42.7029809
04/18/2026 21:22:44,00:00:00.0656772,00:00:50.5351794,1870,[PSC01|BBT01|SLM01|LB01],True,00:00:26.6069597
04/18/2026 21:23:20,00:00:00.0636063,00:00:47.7696007,1926,[PSC01|BBT01|LB01|SLM01],True,00:00:26.5744974
04/18/2026 21:23:55,00:00:00.0628211,00:01:25.4174593,10445,[BBT01|LB01|PSC01|SLM01],True,00:01:16.0447534
04/18/2026 21:25:20,00:00:00.0625616,00:01:25.7486415,10467,[BBT01|LB01|PSC01|SLM01],True,00:01:18.3277935
04/18/2026 21:26:45,00:00:00.0592084,00:01:07.3765597,6458,[SLM01|PSC01|LB01|BBT01],True,00:00:53.4693462
04/18/2026 21:27:45,00:00:00.0631195,00:01:47.0802754,14400,[SLM01|BBT01|LB01|PSC01],True,00:01:43.6933211
04/18/2026 21:29:38,00:00:00.0644922,00:01:07.3450418,6538,[LB01|PSC01|SLM01|BBT01],True,00:00:51.2357826
04/18/2026 21:30:38,00:00:00.0661963,00:01:05.6663942,6241,[BBT01|PSC01|LB01|SLM01],True,00:00:51.3851410
04/18/2026 21:31:38,00:00:00.0651085,00:01:43.7466051,14699,[BBT01|LB01|SLM01|PSC01],True,00:01:40.9588603
04/18/2026 21:33:28,00:00:00.0657773,00:01:46.2780885,14696,[LB01|SLM01|BBT01|PSC01],True,00:01:43.4992659
