Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/18/2026 22:09:35,00:00:00.0673749,00:00:45.9854705,1984,[SLM01|PSC01|LB01|BBT01],True,00:00:27.1017132
04/18/2026 22:10:11,00:00:00.0636884,00:01:24.4190304,10669,[PSC01|BBT01|SLM01|LB01],True,00:01:17.3909931
04/18/2026 22:11:37,00:00:00.0721419,00:01:28.4659976,10527,[LB01|PSC01|SLM01|BBT01],True,00:01:20.1986569
04/18/2026 22:13:06,00:00:00.0652244,00:01:24.5088893,10572,[BBT01|LB01|SLM01|PSC01],True,00:01:19.5605381
04/18/2026 22:14:32,00:00:00.0633273,00:01:46.2305686,14852,[LB01|PSC01|BBT01|SLM01],True,00:01:44.2863644
04/18/2026 22:16:26,00:00:00.0647825,00:00:42.8350420,1998,[SLM01|PSC01|LB01|BBT01],True,00:00:27.0828425
04/18/2026 22:17:00,00:00:00.0575218,00:01:48.7023764,14504,[PSC01|LB01|BBT01|SLM01],True,00:01:46.3227845
04/18/2026 22:18:55,00:00:00.0698547,00:01:04.4092552,6315,[PSC01|SLM01|BBT01|LB01],True,00:00:51.8416174
04/18/2026 22:19:56,00:00:00.0564818,00:01:43.6545995,14848,[LB01|PSC01|BBT01|SLM01],True,00:01:41.7621626
04/18/2026 22:21:46,00:00:00.1608486,00:01:46.1063172,14732,[BBT01|LB01|PSC01|SLM01],True,00:01:44.0535946
04/18/2026 22:23:37,00:00:00.0609672,00:01:46.3500388,14555,[PSC01|LB01|BBT01|SLM01],True,00:01:44.0352881
04/18/2026 22:25:30,00:00:00.0673527,00:00:42.7036064,1928,[SLM01|LB01|PSC01|BBT01],True,00:00:27.1811858
04/18/2026 22:26:07,00:00:00.0573896,00:01:04.2994818,6389,[PSC01|SLM01|BBT01|LB01],True,00:00:52.1401197
04/18/2026 22:27:08,00:00:00.0726694,00:01:44.1817954,14661,[LB01|BBT01|PSC01|SLM01],True,00:01:42.0911947
04/18/2026 22:28:59,00:00:00.0627990,00:00:42.8893182,1982,[SLM01|BBT01|PSC01|LB01],True,00:00:27.4620417
04/18/2026 22:29:35,00:00:00.0727762,00:00:42.3420583,2020,[SLM01|BBT01|PSC01|LB01],True,00:00:27.2550080
04/18/2026 22:30:12,00:00:00.0597745,00:01:24.7976977,10312,[PSC01|LB01|SLM01|BBT01],True,00:01:17.3342498
04/18/2026 22:31:38,00:00:00.2414107,00:01:24.3674603,10720,[BBT01|PSC01|SLM01|LB01],True,00:01:17.3044772
04/18/2026 22:33:05,00:00:00.2138357,00:01:45.3242853,14743,[LB01|BBT01|PSC01|SLM01],True,00:01:43.3728343
04/18/2026 22:34:57,00:00:00.2156040,00:01:02.2503556,6403,[PSC01|SLM01|LB01|BBT01],True,00:00:52.2864991
04/18/2026 22:35:57,00:00:00.0641454,00:00:42.9081072,1869,[SLM01|PSC01|BBT01|LB01],True,00:00:27.4651757
04/18/2026 22:36:32,00:00:00.0606672,00:01:26.0046132,10824,[LB01|BBT01|SLM01|PSC01],True,00:01:19.4074552
04/18/2026 22:38:00,00:00:00.2138765,00:00:42.7854916,1925,[SLM01|LB01|PSC01|BBT01],True,00:00:27.4993271
04/18/2026 22:38:34,00:00:00.2100431,00:01:26.3821300,10562,[LB01|PSC01|SLM01|BBT01],True,00:01:19.3688902
04/18/2026 22:40:02,00:00:00.1330699,00:00:42.7197611,1929,[SLM01|BBT01|LB01|PSC01],True,00:00:27.4901579
