Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/19/2026 06:51:51,00:00:00.0821361,00:02:04.7468822,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 06:54:11,00:00:00.0588817,00:02:04.1330477,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 06:56:31,00:00:00.0601703,00:02:04.4179774,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 06:58:52,00:00:00.0607065,00:02:05.9426365,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 07:01:13,00:00:00.0551923,00:02:04.4683303,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 07:03:33,00:00:00.0580582,00:02:04.3693963,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 07:05:54,00:00:00.0597966,00:02:07.5245678,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 07:08:17,00:00:00.0734557,00:02:04.1318074,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 07:10:38,00:00:00.0592745,00:02:07.9895110,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 07:13:02,00:00:00.0559504,00:02:05.6760653,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 07:15:22,00:00:00.0574894,00:02:06.5065428,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 07:17:44,00:00:00.0552517,00:02:05.5971489,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 07:20:06,00:00:00.0607948,00:02:06.8014429,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 07:22:29,00:00:00.0631514,00:02:05.9952874,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 07:24:49,00:00:00.0572462,00:02:07.6042935,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 07:27:12,00:00:00.0568297,00:02:04.2978600,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 07:29:34,00:00:00.0579264,00:02:05.1110166,16384,[BBT01|LB01|PSC01|SLM01],False,
04/19/2026 07:31:54,00:00:00.0597386,00:02:05.9347524,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 07:34:15,00:00:00.0568364,00:02:07.4930845,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 07:36:38,00:00:00.0579298,00:02:06.2410328,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 07:39:00,00:00:00.0583386,00:02:07.2709549,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 07:41:21,00:00:00.0592454,00:02:06.4101026,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 07:43:43,00:00:00.0590999,00:02:04.1720767,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 07:46:05,00:00:00.0619547,00:02:03.4879268,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 07:48:25,00:00:00.0587255,00:02:05.5381391,16384,[LB01|SLM01|BBT01|PSC01],False,
