Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/19/2026 07:52:49,00:00:00.0580097,00:02:03.5412082,16384,[LB01|BBT01|SLM01|PSC01],False,
04/19/2026 07:55:08,00:00:00.0577819,00:02:02.7248113,16384,[PSC01|LB01|BBT01|SLM01],False,
04/19/2026 07:57:27,00:00:00.0617742,00:02:04.6946663,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 07:59:46,00:00:00.0570218,00:02:04.6351004,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 08:02:05,00:00:00.0590108,00:02:03.2933614,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 08:04:22,00:00:00.0568532,00:02:04.1922830,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 08:06:41,00:00:00.0600691,00:02:04.9960128,16384,[LB01|BBT01|PSC01|SLM01],False,
04/19/2026 08:09:00,00:00:00.0593928,00:02:04.1874127,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 08:11:19,00:00:00.0610922,00:02:03.9667476,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 08:13:39,00:00:00.2814086,00:02:06.9284908,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 08:16:02,00:00:00.1513789,00:02:07.1366517,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 08:18:24,00:00:00.0682947,00:02:05.9101678,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 08:20:46,00:00:00.0675170,00:02:07.6564404,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 08:23:08,00:00:00.2253913,00:02:05.7799474,16384,[SLM01|PSC01|BBT01|LB01],False,
04/19/2026 08:25:30,00:00:00.1164888,00:02:07.5473901,16384,[BBT01|SLM01|LB01|PSC01],False,
04/19/2026 08:27:54,00:00:00.0595704,00:02:05.3447832,16384,[BBT01|PSC01|SLM01|LB01],False,
04/19/2026 08:30:15,00:00:00.0554006,00:02:09.0880613,16384,[SLM01|PSC01|LB01|BBT01],False,
04/19/2026 08:32:39,00:00:00.1263722,00:02:06.3018010,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 08:35:01,00:00:00.0703867,00:02:05.0955828,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 08:37:22,00:00:00.0668222,00:02:04.9078818,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 08:39:43,00:00:00.0632419,00:02:06.0618348,16384,[SLM01|BBT01|PSC01|LB01],False,
04/19/2026 08:42:05,00:00:00.0585555,00:02:06.0630402,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 08:44:25,00:00:00.0585207,00:02:03.2259628,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 08:46:44,00:00:00.0683526,00:02:05.4796744,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 08:49:04,00:00:00.0596574,00:02:02.5322237,16384,[SLM01|LB01|BBT01|PSC01],False,
