Start Time,TTFB,TTLB,Blocks Served,SlotOrder,Aborted?,Aborted at
04/19/2026 08:53:00,00:00:00.0591145,00:01:59.6917043,16384,[SLM01|BBT01|LB01|PSC01],False,
04/19/2026 08:55:15,00:00:00.0590801,00:02:00.9821475,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 08:57:32,00:00:00.0584669,00:01:59.3730499,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 08:59:47,00:00:00.0584222,00:02:00.6019990,16384,[BBT01|SLM01|PSC01|LB01],False,
04/19/2026 09:02:04,00:00:00.0580435,00:02:01.0330964,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 09:04:20,00:00:00.0609737,00:01:59.5551517,16384,[PSC01|BBT01|SLM01|LB01],False,
04/19/2026 09:06:35,00:00:00.0574155,00:02:00.5845994,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 09:08:50,00:00:00.0598535,00:01:59.3811387,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 09:11:06,00:00:00.0598523,00:02:00.5139481,16384,[PSC01|SLM01|LB01|BBT01],False,
04/19/2026 09:13:22,00:00:00.0598884,00:02:00.5522613,16384,[LB01|PSC01|SLM01|BBT01],False,
04/19/2026 09:15:38,00:00:00.0606426,00:02:01.2636472,16384,[BBT01|PSC01|LB01|SLM01],False,
04/19/2026 09:17:54,00:00:00.0582387,00:02:02.5145215,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 09:20:13,00:00:00.0577822,00:02:00.8693778,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 09:22:30,00:00:00.0600213,00:02:02.2776435,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 09:24:49,00:00:00.0733264,00:02:04.3755073,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 09:27:09,00:00:00.0575440,00:02:02.3751224,16384,[SLM01|LB01|PSC01|BBT01],False,
04/19/2026 09:29:29,00:00:00.1884595,00:02:02.7194697,16384,[SLM01|PSC01|BBT01|LB01],False,
04/19/2026 09:31:48,00:00:00.0593225,00:02:03.8315787,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 09:34:07,00:00:00.0613094,00:02:05.1706045,16384,[LB01|SLM01|PSC01|BBT01],False,
04/19/2026 09:36:27,00:00:00.1711344,00:02:04.7507895,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 09:38:46,00:00:00.0648425,00:02:04.2072983,16384,[SLM01|LB01|BBT01|PSC01],False,
04/19/2026 09:41:07,00:00:00.2645503,00:02:04.4281352,16384,[LB01|PSC01|BBT01|SLM01],False,
04/19/2026 09:43:27,00:00:00.0696380,00:02:04.6487728,16384,[PSC01|SLM01|BBT01|LB01],False,
04/19/2026 09:45:47,00:00:00.1492474,00:02:04.8928556,16384,[PSC01|BBT01|LB01|SLM01],False,
04/19/2026 09:48:07,00:00:00.0678925,00:02:07.4145269,16384,[BBT01|PSC01|SLM01|LB01],False,
