Peak Heap,Lowest Heap
129352,43632
128704,43344
128512,43344
128524,43344
128516,43344
128524,43344
128524,43344
128524,43344
128520,43344
128536,43344
128524,43344
128336,43344
128532,43344
128536,43344
128532,43344
128536,43344
128328,43344
128532,43344
128532,43344
128336,43344
128532,43344
128524,43344
128332,43344
128536,43344
128536,43344
128536,43344
128524,43344
128524,43344
128532,43344
128532,43344
128336,43344
128532,43344
128536,43344
128540,43344
128532,43344
128520,43344
128528,43344
128532,43344
128524,43344
128532,43344
128532,43344
128336,43344
128528,43344
128528,43344
128536,43344
128524,43344
128532,43344
128532,43344
128532,43344
128532,43344
128532,43344
128532,43344
128536,43344
128532,43344
128532,43344
128524,43344
128524,43344
128316,43344
128328,43344
128524,43344
128524,43344
128524,43344
128340,43344
128524,43344
128512,43344
128532,43344
128328,43344
128528,43344
128336,43344
128536,43344
128532,43344
128536,43344
128524,43344
128524,43344
128524,43344
128524,43344
128524,43344
128536,43344
128524,43344
128536,43344
128536,43344
128536,43344
128524,43344
128516,43344
128536,43344
128340,43344
128520,43344
128324,43344
128536,43344
128532,43344
128508,43344
128504,43344
128524,43344
128328,43344
128524,43344
128528,43344
128536,43344
128524,43344
128528,43344
128528,43344
